internship_id,title,required_skills,domain,min_age,max_age,stipend,remote,capacity,org_pref_govt,ministry,state,csr_underprivileged_pct,description,job_text
I00128,Finance Intern,"finance, ux",Finance,18,25,20000,0,5,0,Ministry of Culture,West Bengal,0.05,"finance, ux - Work on Finance projects; stipend 20000","finance, ux Finance stipend:20000"
I00129,Marketing Intern,"matlab, css, tableau",Marketing,18,22,15000,1,3,0,MoE,Kerala,0.2,"matlab, css, tableau - Work on Marketing projects; stipend 15000","matlab, css, tableau Marketing stipend:15000"
I00130,Product Intern,"sales, ux, aws",Product,18,30,20000,0,5,0,MoHFW,Uttar Pradesh,0.2,"sales, ux, aws - Work on Product projects; stipend 20000","sales, ux, aws Product stipend:20000"
I00131,Product Intern,"c++, ux, tableau, docker",Product,18,28,5000,0,3,0,NITI Aayog,Karnataka,0.0,"c++, ux, tableau, docker - Work on Product projects; stipend 5000","c++, ux, tableau, docker Product stipend:5000"
I00132,Marketing Intern,"excel, css, r, c++",Marketing,18,30,8000,0,2,0,MeitY,West Bengal,0.1,"excel, css, r, c++ - Work on Marketing projects; stipend 8000","excel, css, r, c++ Marketing stipend:8000"
I00133,DevOps Intern,"react, html",DevOps,18,28,20000,0,3,0,ICAR,Tamil Nadu,0.05,"react, html - Work on DevOps projects; stipend 20000","react, html DevOps stipend:20000"
I00134,Backend Development Intern,"machine learning, fastapi, excel, nodejs",Backend Development,18,28,5000,0,2,0,ICAR,Kerala,0.2,"machine learning, fastapi, excel, nodejs - Work on Backend Development projects; stipend 5000","machine learning, fastapi, excel, nodejs Backend Development stipend:5000"
I00135,Backend Development Intern,"kubernetes, java, powerbi, python",Backend Development,18,22,5000,0,2,0,MoE,Telangana,0.0,"kubernetes, java, powerbi, python - Work on Backend Development projects; stipend 5000","kubernetes, java, powerbi, python Backend Development stipend:5000"
I00136,Finance Intern,"react, flask, python",Finance,18,30,8000,1,4,0,MoE,Tamil Nadu,0.0,"react, flask, python - Work on Finance projects; stipend 8000","react, flask, python Finance stipend:8000"
I00137,DevOps Intern,"sql, nlp, finance, machine learning",DevOps,18,28,10000,1,5,0,NITI Aayog,Uttar Pradesh,0.2,"sql, nlp, finance, machine learning - Work on DevOps projects; stipend 10000","sql, nlp, finance, machine learning DevOps stipend:10000"
I00138,Frontend Design Intern,"deep learning, html, tableau, ios",Frontend Design,18,22,8000,0,3,0,Ministry of Culture,Telangana,0.1,"deep learning, html, tableau, ios - Work on Frontend Design projects; stipend 8000","deep learning, html, tableau, ios Frontend Design stipend:8000"
I00139,Mobile Intern,"nodejs, matlab",Mobile,18,22,5000,1,3,0,MeitY,Kerala,0.05,"nodejs, matlab - Work on Mobile projects; stipend 5000","nodejs, matlab Mobile stipend:5000"
I00140,Product Intern,"python, ux",Product,18,30,5000,1,5,0,MeitY,Gujarat,0.1,"python, ux - Work on Product projects; stipend 5000","python, ux Product stipend:5000"
